version,condition_uid
ccg_iaf_201617,1
ccg_iaf_201617,2
ccg_iaf_201617,3
ccg_iaf_201617,4
ccg_iaf_201617,5
ccg_iaf_201617,6
ccg_iaf_201617,7
ccg_iaf_201617,8
ccg_iaf_201617,9
ccg_iaf_201617,10
ccg_iaf_201617,11
ccg_iaf_201617,12
ccg_iaf_201617,13
ccg_iaf_201617,14
